Feature,Correlation with Close
high,+0.9977
low,+0.9975
open,+0.9941
SMA_7,+0.9895
EMA_12,+0.9869
BB_lower,+0.9763
SMA_20,+0.9741
BB_middle,+0.9741
EMA_26,+0.9716
BB_upper,+0.9481
SMA_50,+0.9293
ATR_14,+0.7119
MACD_signal,+0.3776
MACD,+0.3482
volume,+0.3262
RSI_14,+0.1753
returns,+0.0536
MACD_histogram,-0.0123
,
Feature,Correlation with Returns
RSI_14,+0.2588
MACD_histogram,+0.1382
MACD,+0.0716
close,+0.0536
SMA_7,+0.0385
EMA_12,+0.0345
MACD_signal,+0.0298
EMA_26,+0.0275
low,+0.0229
BB_lower,+0.0158
BB_middle,+0.0117
SMA_20,+0.0117
high,+0.0102
BB_upper,+0.0082
ATR_14,+0.0027
SMA_50,-0.0145
open,-0.0345
volume,-0.1661
